index x y z
0 0.0348496 0.000133067 0
1 0.0108021 0.0106699 0
2 -0.0132609 0.0213141 0
3 -0.0368476 0.0330067 0
4 -0.0583528 0.0481538 0
5 -0.0797099 0.0635309 0
6 -0.101724 0.0779728 0
7 -0.123718 0.0924276 0
8 -0.145775 0.106802 0
9 -0.167882 0.121095 0
10 -0.190335 0.134844 0
11 -0.211693 0.150097 0
12 -0.232115 0.166707 0
13 -0.251287 0.184735 0
14 -0.269972 0.203267 0
15 -0.286967 0.223325 0
16 -0.30194 0.244966 0
17 -0.31477 0.26795 0
18 -0.326876 0.291331 0
19 -0.338413 0.314981 0
20 -0.345749 0.340242 0
21 -0.349182 0.366283 0
22 -0.347291 0.392483 0
23 -0.339867 0.417662 0
24 -0.328514 0.441397 0
25 -0.3135 0.46284 0
26 -0.297697 0.483862 0
27 -0.281872 0.504893 0
28 -0.263967 0.524159 0
29 -0.243987 0.541273 0
30 -0.223238 0.557387 0
31 -0.201214 0.571814 0
32 -0.178887 0.585667 0
33 -0.156021 0.598709 0
34 -0.134568 0.613941 0
35 -0.116783 0.633123 0
36 -0.103896 0.656032 0
37 -0.0907863 0.678782 0
38 -0.0741815 0.699166 0
39 -0.0580384 0.71992 0
40 -0.0440475 0.742214 0
41 -0.0332091 0.766193 0
42 -0.0266878 0.791609 0
43 -0.0235073 0.817721 0
44 -0.0215741 0.843979 0
45 -0.0192526 0.870206 0
46 -0.0175195 0.896479 0
47 -0.0141988 0.92255 0
48 -0.0134322 0.948528 0
49 -0.0150002 0.974722 0
50 -0.0108855 0.999534 0
51 -0.00205909 0.974731 0
52 0.00651414 0.949849 0
53 0.015011 0.925018 0
54 0.0208778 0.899482 0
55 0.0306499 0.87505 0
56 0.0376406 0.849786 0
57 0.042731 0.82398 0
58 0.0528908 0.799849 0
59 0.0652664 0.776626 0
60 0.0763162 0.752729 0
61 0.0875156 0.728899 0
62 0.100171 0.706048 0
63 0.11676 0.685605 0
64 0.134336 0.666007 0
65 0.153306 0.647807 0
66 0.174022 0.63156 0
67 0.194212 0.614711 0
68 0.21389 0.597226 0
69 0.233705 0.579893 0
70 0.254393 0.563636 0
71 0.27506 0.547344 0
72 0.293505 0.528622 0
73 0.310815 0.5088 0
74 0.330038 0.49082 0
75 0.349486 0.473112 0
76 0.365091 0.451906 0
77 0.380887 0.43084 0
78 0.391236 0.406791 0
79 0.395026 0.38084 0
80 0.394399 0.354593 0
81 0.390398 0.328577 0
82 0.385907 0.302633 0
83 0.377322 0.277899 0
84 0.363351 0.255595 0
85 0.347687 0.234443 0
86 0.329632 0.215326 0
87 0.310619 0.197126 0
88 0.292202 0.178326 0
89 0.272172 0.161253 0
90 0.252471 0.143784 0
91 0.23264 0.126467 0
92 0.212413 0.109612 0
93 0.190743 0.0947386 0
94 0.168495 0.0806621 0
95 0.146316 0.0665311 0
96 0.125062 0.0509938 0
97 0.103686 0.0356225 0
98 0.0816828 0.0211679 0
99 0.0597815 0.00664189 0
